Apple Inc.
"Annual Meeting - 10 March, 2023"

Nominee,For,Against,Abstained,Broker Non-Vote
James Bell,9465679895,66756373,27788697,3199709505
Tim Cook,9384013653,154755524,21455788,3199709505
Al Gore,8717788168,754211726,88225071,3199709505
Alex Gorsky,9345154817,185107464,29962684,3199709505
Andrea Jung,8886421911,638629879,35173175,3199709505
Art Levinson,8982747341,549024146,28453478,3199709505
Monica Lozano,9470339256,61625010,28260699,3199709505
Ron Sugar,8935381470,595179126,29664369,3199709505
Sue Wagner,9172832824,360662024,26730117,3199709505

Proposal,For,Against,Abstained,Broker Non-Vote
Ratification of Ernst & Young LLP as independent registered public accounting firm for fiscal year 2023,12569833138,154378601,35722731,
Advisory resolution to approve executive compensation,8450622819,1037238044,72364102,3199709505.0
Civil Rights and Non-Discrimination Audit Proposal,132449397,9322879571,104895997,3199709505.0
Communist China Audit,413232649,9001346586,145645730,3199709505.0
Board policy for communication with shareholder proponents,611602995,8865309276,83312694,3199709505.0
Racial and Gender Pay Gaps,3186369941,6227476677,146378347,3199709505.0
Shareholder Proxy Access Amendments,2934328973,6535240600,90655392,3199709505.0

Proposal,One Year,Two Years,Three Years,Abstain,Broker Non-Votes
Advisory vote on the frequency of advisory votes on executive compensation,9373118972,30603953,122956354,33545686,3199709505
